
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
2.7890,-0.0039,0.2345,0.9772,-0.0086,0.0110,0.0134,27.6600,-14.2200,-23.5800,90.0000,
2.8700,-0.0039,0.2345,0.9772,0.0086,0.0147,-0.0098,27.6600,-14.2200,-23.5800,90.0000,
2.8750,-0.0039,0.2345,0.9772,0.0086,0.0147,-0.0098,27.6600,-14.2200,-23.5800,90.0000,
2.9060,-0.0039,0.2345,0.9772,0.0086,0.0147,-0.0098,27.4200,-14.2800,-23.8200,90.0000,
2.9700,-0.0039,0.2345,0.9772,0.0086,0.0147,-0.0098,27.3600,-14.1600,-23.8200,90.0000,
2.9910,-0.0156,0.2384,0.9772,0.0086,0.0147,-0.0098,27.3600,-14.1600,-23.8200,90.0000,
3.0590,-0.0156,0.2384,0.9772,-0.0147,-0.0073,0.0086,27.3600,-14.1600,-23.8200,90.0000,
3.0630,-0.0156,0.2384,0.9772,-0.0147,-0.0073,0.0086,27.3600,-14.1600,-23.8200,90.0000,
3.1030,-0.0156,0.2384,0.9772,-0.0147,-0.0073,0.0086,27.3000,-14.2800,-23.7000,90.0000,
3.1690,-0.0156,0.2384,0.9772,-0.0147,-0.0073,0.0086,27.3600,-14.2800,-23.5200,90.0000,
3.1800,-0.0078,0.2306,0.9850,-0.0147,-0.0073,0.0086,27.3600,-14.2800,-23.5200,90.0000,
3.2600,-0.0078,0.2306,0.9850,-0.0159,0.0232,-0.0049,27.3600,-14.2800,-23.5200,90.0000,
3.2630,-0.0078,0.2306,0.9850,-0.0159,0.0232,-0.0049,27.3600,-14.2800,-23.5200,90.0000,
3.3010,-0.0078,0.2306,0.9850,-0.0159,0.0232,-0.0049,27.4800,-14.3400,-23.5200,90.0000,
3.3680,-0.0078,0.2306,0.9850,-0.0159,0.0232,-0.0049,27.2400,-14.2800,-23.3400,90.0000,
3.3900,-0.0078,0.2267,0.9772,-0.0159,0.0232,-0.0049,27.2400,-14.2800,-23.3400,90.0000,
3.3940,-0.0078,0.2267,0.9772,-0.0159,0.0232,-0.0049,27.2400,-14.2800,-23.3400,40.0000,
3.4610,-0.0078,0.2267,0.9772,0.0024,0.0086,-0.0318,27.2400,-14.2800,-23.3400,40.0000,
3.4660,-0.0078,0.2267,0.9772,0.0024,0.0086,-0.0318,27.2400,-14.2800,-23.3400,40.0000,
3.5000,-0.0078,0.2267,0.9772,0.0024,0.0086,-0.0318,27.0600,-14.1600,-23.1000,40.0000,
