
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
1.8240,0.0704,0.3010,0.9303,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.8660,0.0704,0.2971,0.9264,0.1943,-0.0171,-0.1075,-5.3400,-24.5400,-15.9000,160.0000,
1.8670,0.0704,0.2971,0.9264,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.8680,0.0586,0.2971,0.9108,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.8920,0.0586,0.2971,0.9069,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.9140,0.0547,0.3088,0.9108,0.1943,-0.0171,-0.1075,-5.3400,-24.9600,-15.5400,160.0000,
1.9200,0.0547,0.3088,0.9108,0.1943,-0.0171,-0.1075,-5.2200,-25.2000,-15.0000,160.0000,
1.9320,0.0586,0.3088,0.9225,0.1943,-0.0171,-0.1075,-5.2200,-25.2000,-15.0000,160.0000,
1.9640,0.0586,0.3127,0.9342,0.1943,-0.0171,-0.1075,-5.2200,-25.2000,-15.0000,160.0000,
1.9650,0.0586,0.3127,0.9342,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
1.9680,0.0586,0.3127,0.9342,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1250,0.0625,0.3088,0.9538,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1270,0.0625,0.3127,0.9538,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1280,0.0625,0.3166,0.9460,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1290,0.0547,0.3166,0.9225,-0.0379,0.0489,-0.0965,-5.2200,-25.2000,-15.0000,160.0000,
2.1300,0.0547,0.3166,0.9225,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1310,0.0508,0.3166,0.9264,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1320,0.0508,0.3166,0.9342,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1320,0.0547,0.3244,0.9577,-0.0379,0.0489,-0.0965,-4.9200,-25.2000,-14.9400,160.0000,
2.1340,0.0547,0.3244,0.9577,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1340,0.0547,0.3244,0.9694,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1360,0.0547,0.3166,0.9694,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1540,0.0508,0.3166,0.9655,-0.0379,0.0489,-0.0965,-4.6200,-25.2000,-14.9400,160.0000,
2.1600,0.0508,0.3166,0.9655,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.1610,0.0508,0.3166,0.9655,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.1680,0.0469,0.3283,0.9733,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.1870,0.0469,0.3244,0.9655,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.2070,0.0430,0.3127,0.9499,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.2480,0.0352,0.3088,0.9303,0.0134,-0.0134,-0.0428,-4.6200,-25.2000,-14.9400,160.0000,
2.2510,0.0352,0.3088,0.9303,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.2550,0.0313,0.3010,0.9225,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.2710,0.0313,0.3049,0.9381,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.2910,0.0391,0.3049,0.9694,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.3120,0.0469,0.2971,0.9811,0.0134,-0.0134,-0.0428,-4.5600,-25.1400,-15.0000,160.0000,
2.3200,0.0469,0.2971,0.9811,0.0134,-0.0134,-0.0428,-4.4400,-25.1400,-15.0000,160.0000,
2.3310,0.0430,0.3088,0.9538,0.0134,-0.0134,-0.0428,-4.4400,-25.1400,-15.0000,160.0000,
2.3510,0.0391,0.3088,0.9420,0.0134,-0.0134,-0.0428,-4.4400,-25.1400,-15.0000,160.0000,
2.3620,0.0391,0.3088,0.9420,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.3650,0.0391,0.3088,0.9420,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.3710,0.0391,0.3088,0.9342,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.3920,0.0391,0.3088,0.9147,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.4130,0.0547,0.3323,0.9303,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.4310,0.0508,0.3401,0.9381,0.2382,0.0134,0.0342,-4.4400,-25.1400,-15.0000,160.0000,
2.4450,0.0508,0.3401,0.9381,0.2382,0.0134,0.0342,-4.3200,-25.1400,-14.8200,160.0000,
2.4510,0.0430,0.3440,0.9342,0.2382,0.0134,0.0342,-4.3200,-25.1400,-14.8200,160.0000,
2.4710,0.0704,0.3088,0.9616,0.2382,0.0134,0.0342,-4.3200,-25.1400,-14.8200,160.0000,
2.4990,0.0782,0.2971,0.9694,0.2382,0.0134,0.0342,-4.3200,-25.1400,-14.8200,160.0000,
2.5120,0.0782,0.2971,0.9694,0.2382,0.0134,0.0342,-4.1400,-25.2000,-14.4600,160.0000,
2.5240,0.0860,0.2971,0.9694,0.2382,0.0134,0.0342,-4.1400,-25.2000,-14.4600,160.0000,
2.5330,0.1016,0.2658,0.9968,0.2382,0.0134,0.0342,-4.1400,-25.2000,-14.4600,160.0000,
2.5480,0.1329,0.2345,1.0359,0.2382,0.0134,0.0342,-4.1400,-25.2000,-14.4600,160.0000,
2.5620,0.1329,0.2345,1.0359,-0.1930,0.1173,0.5718,-4.1400,-25.2000,-14.4600,160.0000,
2.5640,0.1329,0.2345,1.0359,-0.1930,0.1173,0.5718,-4.1400,-25.2000,-14.4600,160.0000,
2.5700,0.1446,0.2345,1.0632,-0.1930,0.1173,0.5718,-4.1400,-25.2000,-14.4600,160.0000,
2.5880,0.1329,0.2619,1.0789,-0.1930,0.1173,0.5718,-4.1400,-25.2000,-14.4600,160.0000,
2.6080,0.1212,0.2853,1.1453,-0.1930,0.1173,0.5718,-4.1400,-25.2000,-14.4600,160.0000,
2.6320,0.0977,0.1720,1.2391,-0.1930,0.1173,0.5718,-4.1400,-25.2000,-14.4600,160.0000,
2.6500,0.0977,0.1720,1.2391,-0.1930,0.1173,0.5718,-4.3800,-24.8400,-14.8200,160.0000,
2.6540,0.0743,0.1642,1.1336,-0.1930,0.1173,0.5718,-4.3800,-24.8400,-14.8200,160.0000,
2.6720,-0.0665,0.2893,0.9538,-0.1930,0.1173,0.5718,-4.3800,-24.8400,-14.8200,160.0000,
2.6910,-0.2424,0.3479,0.8951,-0.1930,0.1173,0.5718,-4.3800,-24.8400,-14.8200,160.0000,
2.9370,-0.2424,0.3479,0.8951,-0.1930,0.1173,0.5718,-4.9800,-24.6000,-15.3600,160.0000,
2.9380,0.0000,0.3440,0.8600,-0.1930,0.1173,0.5718,-4.9800,-24.6000,-15.3600,160.0000,
2.9400,-0.0274,0.3440,0.7974,-0.1930,0.1173,0.5718,-4.9800,-24.6000,-15.3600,160.0000,
2.9410,-0.1134,0.3753,0.7740,-0.1930,0.1173,0.5718,-4.9800,-24.6000,-15.3600,160.0000,
2.9420,-0.1134,0.3753,0.7740,1.0739,0.1234,-0.5107,-4.9800,-24.6000,-15.3600,160.0000,
2.9440,-0.1134,0.3753,0.7740,1.0739,0.1234,-0.5107,-4.9800,-24.6000,-15.3600,160.0000,
2.9450,-0.1759,0.3753,0.7388,1.0739,0.1234,-0.5107,-4.9800,-24.6000,-15.3600,160.0000,
2.9470,-0.1681,0.3870,0.6919,1.0739,0.1234,-0.5107,-4.9800,-24.6000,-15.3600,160.0000,
2.9480,-0.1407,0.3831,0.6254,1.0739,0.1234,-0.5107,-4.9800,-24.6000,-15.3600,160.0000,
2.9490,-0.1290,0.3713,0.6098,1.0739,0.1234,-0.5107,-4.9800,-24.6000,-15.3600,160.0000,
2.9500,-0.1290,0.3713,0.6098,1.0739,0.1234,-0.5107,-5.0400,-24.5400,-15.0000,160.0000,
2.9510,-0.1134,0.4691,0.7231,1.0739,0.1234,-0.5107,-5.0400,-24.5400,-15.0000,160.0000,
2.9510,-0.0508,0.2541,0.8873,1.0739,0.1234,-0.5107,-5.0400,-24.5400,-15.0000,160.0000,
2.9570,-0.0508,0.2541,0.8873,-0.6060,-0.0929,-0.3751,-5.0400,-24.5400,-15.0000,160.0000,
2.9580,-0.0508,0.2541,0.8873,-0.6060,-0.0929,-0.3751,-5.0400,-24.5400,-15.0000,160.0000,
2.9670,-0.0899,0.2541,0.8912,-0.6060,-0.0929,-0.3751,-5.0400,-24.5400,-15.0000,160.0000,
2.9870,-0.0586,0.2189,0.8678,-0.6060,-0.0929,-0.3751,-5.0400,-24.5400,-15.0000,160.0000,
3.0070,0.0352,-0.0156,1.0476,-0.6060,-0.0929,-0.3751,-5.0400,-24.5400,-15.0000,160.0000,
3.0270,0.0743,0.0586,1.2235,-0.6060,-0.0929,-0.3751,-5.0400,-24.5400,-15.0000,160.0000,
3.0380,0.0743,0.0586,1.2235,-0.6060,-0.0929,-0.3751,-4.5000,-24.3600,-15.1200,160.0000,
3.0470,0.0352,0.1954,1.1727,-0.6060,-0.0929,-0.3751,-4.5000,-24.3600,-15.1200,160.0000,
3.0670,-0.1290,0.2814,1.0280,-0.6060,-0.0929,-0.3751,-4.5000,-24.3600,-15.1200,160.0000,
3.0870,-0.1524,0.2697,1.0398,-0.6060,-0.0929,-0.3751,-4.5000,-24.3600,-15.1200,160.0000,
3.1020,-0.1524,0.2697,1.0398,-0.6060,-0.0929,-0.3751,-4.5000,-23.8800,-15.8400,160.0000,
3.1070,-0.0821,0.1173,1.0671,-0.6060,-0.0929,-0.3751,-4.5000,-23.8800,-15.8400,160.0000,
3.1270,-0.0391,-0.0195,1.0984,-0.6060,-0.0929,-0.3751,-4.5000,-23.8800,-15.8400,160.0000,
3.1480,-0.0586,0.2345,1.0593,-0.6060,-0.0929,-0.3751,-4.5000,-23.8800,-15.8400,160.0000,
3.1690,-0.0586,0.2345,1.0593,1.4490,-0.7330,-0.4252,-4.5000,-23.8800,-15.8400,160.0000,
3.1710,-0.0586,0.2345,1.0593,1.4490,-0.7330,-0.4252,-4.5000,-23.8800,-15.8400,160.0000,
3.1720,-0.0078,0.2736,1.0359,1.4490,-0.7330,-0.4252,-4.5000,-23.8800,-15.8400,160.0000,
3.1900,0.0430,0.2502,0.9460,1.4490,-0.7330,-0.4252,-4.5000,-23.8800,-15.8400,160.0000,
3.2090,0.0352,0.1173,0.8521,1.4490,-0.7330,-0.4252,-4.5000,-23.8800,-15.8400,160.0000,
3.2300,0.0469,0.1798,1.1688,1.4490,-0.7330,-0.4252,-4.5000,-23.8800,-15.8400,160.0000,
3.2410,0.0469,0.1798,1.1688,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.2530,0.0195,0.2541,1.0828,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.2710,0.0156,0.2814,0.9850,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.2910,0.0508,0.3088,0.9655,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.3120,0.1055,0.3362,0.9694,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.3310,0.1094,0.3557,0.9147,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.3510,0.1290,0.3792,0.8560,1.4490,-0.7330,-0.4252,-4.6200,-23.8200,-16.4400,160.0000,
3.3610,0.1290,0.3792,0.8560,0.1674,-1.2901,-0.1869,-4.6200,-23.8200,-16.4400,160.0000,
