
time,gfx,gFy,gFz,wx,wy,wz,Bx,By,Bz,I,
1.6080,-0.0586,0.1720,0.9850,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.6090,-0.0586,0.1759,0.9890,0.1332,-0.1283,-0.2272,26.5200,7.2000,-28.5600,0.0000,
1.6110,-0.0586,0.1759,0.9890,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6120,-0.0586,0.1759,0.9890,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6140,-0.0586,0.1759,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6150,-0.0586,0.1681,0.9929,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6160,-0.0547,0.1603,0.9929,0.0623,-0.3763,-0.4191,26.5200,7.2000,-28.5600,0.0000,
1.6180,-0.0547,0.1603,0.9929,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6190,-0.0508,0.1564,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6210,-0.0430,0.1564,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6220,-0.0391,0.1564,1.0046,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6260,-0.0235,0.1564,1.0085,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6460,-0.0195,0.1564,0.9968,0.0623,-0.3763,-0.4191,26.5200,7.9200,-28.5000,0.0000,
1.6560,-0.0195,0.1564,0.9968,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.6570,-0.0195,0.1564,0.9968,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.6680,-0.0078,0.1564,0.9850,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.6910,-0.0039,0.1564,0.9772,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.7090,-0.0039,0.1642,0.9850,0.0195,-0.2712,-0.1344,26.5200,7.9200,-28.5000,0.0000,
1.7180,-0.0039,0.1642,0.9850,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
1.7290,-0.0039,0.1681,0.9929,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
1.7490,0.0078,0.1681,1.0046,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
1.7690,0.0195,0.1720,1.0046,0.0195,-0.2712,-0.1344,25.8600,9.6600,-28.9200,0.0000,
1.7840,0.0195,0.1720,1.0046,0.0195,-0.2712,-0.1344,25.3200,10.4400,-29.1000,0.0000,
1.7910,0.0235,0.1759,1.0085,0.0195,-0.2712,-0.1344,25.3200,10.4400,-29.1000,0.0000,
1.8190,0.0274,0.1798,0.9811,0.0195,-0.2712,-0.1344,25.3200,10.4400,-29.1000,0.0000,
1.8870,0.0156,0.1720,0.9733,0.0195,-0.2712,-0.1344,25.3200,10.4400,-29.1000,0.0000,
1.8900,0.0195,0.1759,0.9811,0.0195,-0.2712,-0.1344,25.3200,10.4400,-29.1000,0.0000,
1.9000,0.0195,0.1759,0.9811,0.1356,-0.1038,-0.2480,25.3200,10.4400,-29.1000,0.0000,
1.9030,0.0195,0.1759,0.9811,0.1356,-0.1038,-0.2480,25.3200,10.4400,-29.1000,0.0000,
1.9110,0.0235,0.1798,0.9733,0.1356,-0.1038,-0.2480,25.3200,10.4400,-29.1000,0.0000,
1.9120,0.0235,0.1759,0.9733,0.1356,-0.1038,-0.2480,25.3200,10.4400,-29.1000,0.0000,
1.9130,0.0235,0.1759,0.9733,0.1356,-0.1038,-0.2480,24.6600,11.0400,-29.7600,0.0000,
1.9210,0.0195,0.1798,0.9811,0.1356,-0.1038,-0.2480,24.6600,11.0400,-29.7600,0.0000,
1.9420,0.0195,0.1954,0.9850,0.1356,-0.1038,-0.2480,24.6600,11.0400,-29.7600,0.0000,
1.9620,0.0313,0.1954,0.9772,0.1356,-0.1038,-0.2480,24.6600,11.0400,-29.7600,0.0000,
1.9760,0.0313,0.1954,0.9772,0.1356,-0.1038,-0.2480,24.1800,11.5200,-30.1800,0.0000,
1.9780,0.0313,0.1915,0.9733,0.1356,-0.1038,-0.2480,24.1800,11.5200,-30.1800,0.0000,
2.0040,0.0313,0.1915,0.9811,0.1356,-0.1038,-0.2480,24.1800,11.5200,-30.1800,0.0000,
2.0210,0.0313,0.1876,1.0046,0.1356,-0.1038,-0.2480,24.1800,11.5200,-30.1800,0.0000,
2.0410,0.0352,0.1876,1.0007,0.1356,-0.1038,-0.2480,24.1800,11.5200,-30.1800,0.0000,
2.0670,0.0391,0.1915,1.0046,0.1356,-0.1038,-0.2480,24.1800,11.5200,-30.1800,0.0000,
2.0680,0.0391,0.1915,1.0046,0.0305,-0.0977,-0.0965,24.1800,11.5200,-30.1800,0.0000,
2.0700,0.0391,0.1915,1.0046,0.0305,-0.0977,-0.0965,24.1800,11.5200,-30.1800,0.0000,
2.0820,0.0430,0.1994,1.0046,0.0305,-0.0977,-0.0965,24.1800,11.5200,-30.1800,0.0000,
2.1490,0.0547,0.2033,0.9929,0.0305,-0.0977,-0.0965,24.1800,11.5200,-30.1800,0.0000,
2.1500,0.0547,0.2033,0.9929,0.0305,-0.0977,-0.0965,23.4000,12.4200,-30.6000,0.0000,
2.1520,0.0469,0.2072,0.9890,0.0305,-0.0977,-0.0965,23.4000,12.4200,-30.6000,0.0000,
2.1540,0.0430,0.2111,0.9850,0.0305,-0.0977,-0.0965,23.4000,12.4200,-30.6000,0.0000,
2.1610,0.0391,0.2111,0.9772,0.0305,-0.0977,-0.0965,23.4000,12.4200,-30.6000,0.0000,
2.2590,0.0313,0.2072,0.9850,0.0305,-0.0977,-0.0965,23.4000,12.4200,-30.6000,0.0000,
2.2610,0.0313,0.2072,0.9850,0.0305,-0.0977,-0.0965,23.1000,12.7200,-30.7200,0.0000,
2.2620,0.0313,0.2072,0.9890,0.0305,-0.0977,-0.0965,23.1000,12.7200,-30.7200,0.0000,
2.2630,0.0195,0.2033,0.9772,0.0305,-0.0977,-0.0965,23.1000,12.7200,-30.7200,0.0000,
2.2680,0.0195,0.2033,0.9733,0.0305,-0.0977,-0.0965,23.1000,12.7200,-30.7200,0.0000,
2.2690,0.0235,0.2033,0.9772,0.0305,-0.0977,-0.0965,23.1000,12.7200,-30.7200,0.0000,
2.2710,0.0235,0.2033,0.9772,0.0305,-0.1478,-0.1417,23.1000,12.7200,-30.7200,0.0000,
2.2720,0.0235,0.2033,0.9772,0.0305,-0.1478,-0.1417,23.1000,12.7200,-30.7200,0.0000,
2.2860,0.0274,0.2033,0.9811,0.0305,-0.1478,-0.1417,23.1000,12.7200,-30.7200,0.0000,
2.3070,0.0352,0.2072,0.9890,0.0305,-0.1478,-0.1417,23.1000,12.7200,-30.7200,0.0000,
2.3080,0.0352,0.2072,0.9890,0.0305,-0.1478,-0.1417,22.5600,12.8400,-30.9600,0.0000,
2.3270,0.0352,0.2111,0.9929,0.0305,-0.1478,-0.1417,22.5600,12.8400,-30.9600,0.0000,
2.3470,0.0430,0.2072,0.9850,0.0305,-0.1478,-0.1417,22.5600,12.8400,-30.9600,0.0000,
2.3700,0.0430,0.1994,0.9694,0.0305,-0.1478,-0.1417,22.5600,12.8400,-30.9600,0.0000,
2.3740,0.0430,0.1994,0.9694,0.0305,-0.1478,-0.1417,21.9600,12.9000,-31.3200,0.0000,
2.3870,0.0391,0.1994,0.9577,0.0305,-0.1478,-0.1417,21.9600,12.9000,-31.3200,0.0000,
2.4060,0.0352,0.2072,0.9577,0.0305,-0.1478,-0.1417,21.9600,12.9000,-31.3200,0.0000,
2.4290,0.0352,0.2150,0.9772,0.0305,-0.1478,-0.1417,21.9600,12.9000,-31.3200,0.0000,
2.4470,0.0430,0.2189,0.9850,0.0305,-0.1478,-0.1417,21.9600,12.9000,-31.3200,0.0000,
2.4560,0.0430,0.2189,0.9850,-0.0782,-0.0098,-0.1136,21.9600,12.9000,-31.3200,0.0000,
2.4570,0.0430,0.2189,0.9850,-0.0782,-0.0098,-0.1136,21.9600,12.9000,-31.3200,0.0000,
2.4660,0.0547,0.2189,1.0046,-0.0782,-0.0098,-0.1136,21.9600,12.9000,-31.3200,0.0000,
2.4860,0.0625,0.2150,1.0319,-0.0782,-0.0098,-0.1136,21.9600,12.9000,-31.3200,0.0000,
2.5060,0.0821,0.2033,1.0124,-0.0782,-0.0098,-0.1136,21.9600,12.9000,-31.3200,0.0000,
2.5070,0.0821,0.2033,1.0124,-0.0782,-0.0098,-0.1136,21.5400,13.1400,-31.6800,0.0000,
2.5290,0.0860,0.1994,0.9850,-0.0782,-0.0098,-0.1136,21.5400,13.1400,-31.6800,0.0000,
2.5470,0.0860,0.1994,0.9694,-0.0782,-0.0098,-0.1136,21.5400,13.1400,-31.6800,0.0000,
2.5670,0.0547,0.2463,0.9460,-0.0782,-0.0098,-0.1136,21.5400,13.1400,-31.6800,0.0000,
2.5730,0.0547,0.2463,0.9460,-0.0782,-0.0098,-0.1136,21.1800,13.0800,-32.0400,0.0000,
2.5880,0.0430,0.2541,0.9381,-0.0782,-0.0098,-0.1136,21.1800,13.0800,-32.0400,0.0000,
2.6100,0.0195,0.2658,0.9342,-0.0782,-0.0098,-0.1136,21.1800,13.0800,-32.0400,0.0000,
2.6260,0.0039,0.2893,0.9381,-0.0782,-0.0098,-0.1136,21.1800,13.0800,-32.0400,0.0000,
2.6470,-0.0274,0.3166,0.9264,-0.0782,-0.0098,-0.1136,21.1800,13.0800,-32.0400,0.0000,
2.6570,-0.0274,0.3166,0.9264,0.4264,-0.0696,-1.0067,21.1800,13.0800,-32.0400,0.0000,
2.6590,-0.0274,0.3166,0.9264,0.4264,-0.0696,-1.0067,21.1800,13.0800,-32.0400,0.0000,
2.6670,-0.0391,0.3010,0.9342,0.4264,-0.0696,-1.0067,21.1800,13.0800,-32.0400,0.0000,
2.6910,-0.0391,0.2814,0.9460,0.4264,-0.0696,-1.0067,21.1800,13.0800,-32.0400,0.0000,
2.7120,-0.0391,0.2814,0.9460,0.4264,-0.0696,-1.0067,20.9400,13.1400,-32.2200,0.0000,
2.7160,-0.0469,0.3010,0.9420,0.4264,-0.0696,-1.0067,20.9400,13.1400,-32.2200,0.0000,
2.7300,-0.0586,0.3557,0.9499,0.4264,-0.0696,-1.0067,20.9400,13.1400,-32.2200,0.0000,
2.7510,-0.0743,0.3909,0.9381,0.4264,-0.0696,-1.0067,20.9400,13.1400,-32.2200,0.0000,
2.7780,-0.0821,0.3870,0.9225,0.4264,-0.0696,-1.0067,20.9400,13.1400,-32.2200,0.0000,
2.7820,-0.0821,0.3870,0.9225,0.4264,-0.0696,-1.0067,20.3400,13.3200,-32.5800,0.0000,
2.7910,-0.0899,0.3713,0.9342,0.4264,-0.0696,-1.0067,20.3400,13.3200,-32.5800,0.0000,
2.8100,-0.0938,0.3518,0.9460,0.4264,-0.0696,-1.0067,20.3400,13.3200,-32.5800,0.0000,
2.8290,-0.1329,0.3870,0.9342,0.4264,-0.0696,-1.0067,20.3400,13.3200,-32.5800,0.0000,
2.8600,-0.1446,0.4143,0.9147,0.4264,-0.0696,-1.0067,20.3400,13.3200,-32.5800,0.0000,
2.8670,-0.1446,0.4143,0.9147,0.2773,0.4435,-1.3659,20.3400,13.3200,-32.5800,0.0000,
2.8700,-0.1446,0.4143,0.9147,0.2773,0.4435,-1.3659,20.3400,13.3200,-32.5800,0.0000,
2.8750,-0.1954,0.4417,0.9264,0.2773,0.4435,-1.3659,20.3400,13.3200,-32.5800,0.0000,
3.0730,-0.2072,0.4261,0.8990,0.2773,0.4435,-1.3659,20.3400,13.3200,-32.5800,0.0000,
3.0740,-0.2072,0.4261,0.8990,0.2773,0.4435,-1.3659,20.2800,13.3800,-33.0000,0.0000,
3.0750,-0.1954,0.4065,0.8678,0.2773,0.4435,-1.3659,20.2800,13.3800,-33.0000,0.0000,
3.0760,-0.2228,0.4104,0.8756,0.2773,0.4435,-1.3659,20.2800,13.3800,-33.0000,0.0000,
3.0770,-0.1837,0.4143,0.8951,0.2773,0.4435,-1.3659,20.2800,13.3800,-33.0000,0.0000,
3.0780,-0.1564,0.4183,0.9303,0.2773,0.4435,-1.3659,20.2800,13.3800,-33.0000,0.0000,
3.0790,-0.1564,0.4183,0.9303,0.2773,0.4435,-1.3659,19.9200,13.5600,-33.3600,0.0000,
3.0800,-0.1251,0.4143,0.9186,0.2773,0.4435,-1.3659,19.9200,13.5600,-33.3600,0.0000,
3.0810,-0.1055,0.3948,0.8873,0.2773,0.4435,-1.3659,19.9200,13.5600,-33.3600,0.0000,
3.0810,-0.1134,0.3909,0.9108,0.2773,0.4435,-1.3659,19.9200,13.5600,-33.3600,0.0000,
3.0820,-0.1134,0.3948,0.9186,0.2773,0.4435,-1.3659,19.9200,13.5600,-33.3600,0.0000,
3.0830,-0.1134,0.3948,0.9186,0.1002,0.2358,-0.1222,19.9200,13.5600,-33.3600,0.0000,
3.0880,-0.1212,0.3948,0.8951,0.1002,0.2358,-0.1222,19.9200,13.5600,-33.3600,0.0000,
3.1020,-0.1212,0.3948,0.8951,0.1002,0.2358,-0.1222,19.5600,13.8000,-33.8400,0.0000,
3.1060,-0.1290,0.3948,0.8639,0.1002,0.2358,-0.1222,19.5600,13.8000,-33.8400,0.0000,
3.1260,-0.1329,0.3948,0.8678,0.1002,0.2358,-0.1222,19.5600,13.8000,-33.8400,0.0000,
3.1460,-0.1290,0.3909,0.8756,0.1002,0.2358,-0.1222,19.5600,13.8000,-33.8400,0.0000,
3.1700,-0.1134,0.3909,0.9381,0.1002,0.2358,-0.1222,19.5600,13.8000,-33.8400,0.0000,
3.1700,-0.1134,0.3909,0.9381,0.1002,0.2358,-0.1222,18.6600,14.1600,-34.2000,0.0000,
